Question,Yes,No,,,,,N.answers
1. Did you receive a written syllabus during the first week of class?,93.33%,6.67%,,,,,15
,Excellent,Good,Fair,Poor,Unacceptable,Not applicable,
2. The instructor's ability to organize ideas and materials for class,30.77%,26.92%,23.08%,15.38%,3.85%,0.00%,26
3. The instructor's ability to stimulate interest in the subject,24.00%,36.00%,24.00%,12.00%,4.00%,0.00%,25
4. The instructor's ability to encourage independent thinking,28.00%,32.00%,28.00%,8.00%,4.00%,0.00%,25
5. The instructor's ability to generate effective class discussion,28.00%,36.00%,20.00%,12.00%,4.00%,0.00%,25
6. The instructor's ability to communicate clearly,28.00%,32.00%,24.00%,8.00%,8.00%,0.00%,25
"7. The instructor's openness to students' comments, questions and viewpoints concerning class topics",44.00%,36.00%,12.00%,4.00%,4.00%,0.00%,25
8. The instructor's knowledge of the subject matter of the class,24.00%,36.00%,20.00%,16.00%,4.00%,0.00%,25
9. The instructor's ability to keep to the time and schedule requirements for the class,48.00%,32.00%,12.00%,4.00%,4.00%,0.00%,25
10. The instructor's availability to students outside of class,32.00%,36.00%,24.00%,4.00%,4.00%,0.00%,25
11. The clarity of information provided about the course requirements and assignments,36.00%,28.00%,24.00%,0.00%,8.00%,4.00%,25
12. The promptness with which tests and assignments are graded and returned,20.00%,36.00%,20.00%,20.00%,4.00%,0.00%,25
,Too many,Just right,Too few,Not applicable,,,
13. The number of assignments/projects/creative works in this class,16.00%,72.00%,4.00%,8.00%,,,25
,Very Challenging,Challenging,Somewhat challenging,Not challenging,Not applicable,,
14. How challenging the class assignments/projects/creative works were,16.00%,44.00%,28.00%,4.00%,8.00%,,25
,Very useful,Useful,Somewhat useful,Not useful,Not applicable,,
15. The usefulness of assignments/projects/creative works in this class,24.00%,48.00%,16.00%,8.00%,4.00%,,25
,Very difficult,Difficult,Somewhat difficult,Not difficult,Not applicable,,
16. The difficulty of examinations in this class,4.00%,44.00%,8.00%,0.00%,44.00%,,25
,Very fair,Fair,Somewhat unfair,Unfair,Not applicable,,
17. The fairness of examinations in this class,24.00%,28.00%,8.00%,0.00%,40.00%,,25
,Very likely,Somewhat likely,Don't know,Somewhat unlikely,Very unlikely,,
18. How likely are you to recommend this instructor to a friend?,36.00%,20.00%,28.00%,12.00%,4.00%,,25
,A lot,A fair amount,Some,A little,Hardly anything,Not applicable,
19. How much general knowledge about the subject have you gained?,36.00%,20.00%,20.00%,20.00%,4.00%,0.00%,25
20. How much ability to analyze and solve problems have you gained?,36.00%,16.00%,24.00%,20.00%,4.00%,0.00%,25
21. How much ability to find and use information on your own have you gained?,32.00%,28.00%,12.00%,24.00%,4.00%,0.00%,25
22. How much ability to express your ideas verbally have you gained from this class?,28.00%,20.00%,20.00%,20.00%,4.00%,8.00%,25
23. How much ability to develop and express your ideas through artistic/creative means have you gained from this class?,24.00%,20.00%,12.00%,24.00%,4.00%,16.00%,25
